epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3113.58,1.12969,3.59021,1.53621,1.45959,0.71452,0.46533,0.50098,0.38872,0.65624,0.42312,0.42693,0.31098,1.15514,3.8075,1.61846,1.42806,0.00143595,0.00143595,0.00143595
30,3220.74,1.1018,3.55949,1.51119,1.42785,0.70452,0.48659,0.50238,0.39213,0.67477,0.44596,0.43667,0.30872,1.14801,3.76292,1.57308,1.42976,0.0014277,0.0014277,0.0014277
31,3328.11,1.08629,3.53432,1.47288,1.4265,0.66283,0.48649,0.50145,0.38244,0.61329,0.42888,0.42502,0.30495,1.1412,3.82486,1.59101,1.39776,0.00141945,0.00141945,0.00141945
32,3435.22,1.07997,3.52574,1.49045,1.42066,0.69949,0.47888,0.50696,0.3963,0.66495,0.44457,0.44357,0.31368,1.12659,3.7591,1.57577,1.41289,0.0014112,0.0014112,0.0014112
33,3542.37,1.08643,3.49234,1.48066,1.42083,0.64837,0.4571,0.44524,0.34285,0.62747,0.41129,0.38981,0.28525,1.07923,3.77175,1.67158,1.39951,0.00140295,0.00140295,0.00140295
34,3649.85,1.06684,3.52027,1.44602,1.41119,0.68633,0.48131,0.51205,0.39861,0.6502,0.44823,0.44616,0.32631,1.12957,3.70417,1.58614,1.4002,0.0013947,0.0013947,0.0013947
35,3758.26,1.06018,3.49049,1.42564,1.3998,0.68777,0.44779,0.49197,0.38359,0.65276,0.41822,0.43622,0.30838,1.11091,3.76298,1.66203,1.4035,0.00138644,0.00138644,0.00138644
36,3866.64,1.06308,3.50681,1.43585,1.40032,0.67951,0.45529,0.48839,0.38086,0.67255,0.4228,0.42799,0.31542,1.09888,3.74221,1.63903,1.38228,0.00137819,0.00137819,0.00137819
37,3974.94,1.04047,3.4445,1.41928,1.38716,0.7353,0.46612,0.49846,0.39861,0.6933,0.42883,0.43002,0.318,1.05052,3.69024,1.59245,1.33628,0.00136994,0.00136994,0.00136994
38,4082.48,1.04337,3.46476,1.41978,1.38909,0.69596,0.47676,0.50405,0.40381,0.68906,0.4392,0.44686,0.33375,1.05369,3.71461,1.57267,1.36275,0.00136169,0.00136169,0.00136169
39,4190.19,1.05317,3.45553,1.40987,1.39149,0.7443,0.45723,0.50939,0.39036,0.70521,0.42579,0.44643,0.31957,1.09293,3.66392,1.62507,1.37919,0.00135344,0.00135344,0.00135344
40,4297.44,1.0557,3.47823,1.42091,1.3905,0.72393,0.46846,0.51407,0.40544,0.67534,0.4293,0.44268,0.31574,1.10053,3.69739,1.51941,1.38937,0.00134519,0.00134519,0.00134519
41,4405.27,1.05029,3.40028,1.38985,1.39125,0.76651,0.45499,0.50449,0.39738,0.70736,0.42112,0.4348,0.31261,1.11324,3.71373,1.58347,1.39082,0.00133693,0.00133693,0.00133693
42,4512.78,1.04454,3.46644,1.41276,1.39035,0.66744,0.47893,0.50328,0.39349,0.62715,0.44605,0.44071,0.31191,1.08846,3.66093,1.59984,1.38387,0.00132868,0.00132868,0.00132868
43,4620.49,1.03798,3.39739,1.37788,1.38234,0.71804,0.46992,0.51063,0.40368,0.65626,0.42622,0.4334,0.31216,1.10459,3.74736,1.53421,1.38731,0.00132043,0.00132043,0.00132043
44,4728.58,1.04622,3.405,1.3872,1.38744,0.62794,0.47983,0.50968,0.39906,0.62228,0.42052,0.43618,0.3098,1.09318,3.71583,1.58344,1.38255,0.00131218,0.00131218,0.00131218
45,4836.15,1.03111,3.37477,1.36398,1.38072,0.72752,0.45446,0.50384,0.39954,0.68207,0.4175,0.42911,0.30611,1.04106,3.72171,1.54022,1.33058,0.00130393,0.00130393,0.00130393
46,4944.06,1.00924,3.34642,1.34674,1.36677,0.71669,0.47035,0.49931,0.40606,0.66911,0.42605,0.4257,0.30837,1.01226,3.6756,1.54485,1.33022,0.00129568,0.00129568,0.00129568
47,5055.12,1.01915,3.39492,1.348,1.37076,0.7744,0.43195,0.50629,0.40357,0.72507,0.40182,0.43132,0.32228,1.05494,3.6771,1.57145,1.36175,0.00128742,0.00128742,0.00128742
48,5165.3,1.00754,3.36831,1.35109,1.36433,0.70983,0.45885,0.51092,0.39892,0.68671,0.42735,0.43946,0.323,1.11701,3.69415,1.59941,1.39371,0.00127917,0.00127917,0.00127917
49,5274.23,1.00948,3.35178,1.34027,1.35856,0.74853,0.46892,0.50687,0.40947,0.67602,0.42667,0.42797,0.31511,1.03235,3.73791,1.54087,1.33584,0.00127092,0.00127092,0.00127092
50,5381.72,1.0063,3.35618,1.32877,1.35998,0.66409,0.4894,0.51399,0.40725,0.6729,0.42262,0.44327,0.32645,1.05786,3.62299,1.48204,1.34165,0.00126267,0.00126267,0.00126267
51,5488.9,1.0034,3.33801,1.32974,1.35543,0.70764,0.47683,0.51144,0.40443,0.68975,0.44009,0.45347,0.32723,1.04928,3.62674,1.48765,1.3135,0.00125442,0.00125442,0.00125442
52,5596.06,0.98848,3.28485,1.30704,1.33605,0.71208,0.46896,0.50817,0.40135,0.6148,0.43487,0.41749,0.30337,1.09145,3.6775,1.53604,1.36384,0.00124617,0.00124617,0.00124617
53,5703,0.97904,3.26556,1.29417,1.33346,0.72595,0.4441,0.51196,0.40646,0.67736,0.40862,0.43411,0.32794,1.05908,3.66065,1.49017,1.34302,0.00123791,0.00123791,0.00123791
54,5810.09,0.98908,3.30638,1.3055,1.34343,0.67459,0.47613,0.50997,0.401,0.60476,0.42043,0.41914,0.30257,1.0404,3.79052,1.53545,1.3287,0.00122966,0.00122966,0.00122966
55,5917.1,0.99128,3.33083,1.31316,1.35089,0.73399,0.46042,0.51899,0.40785,0.70881,0.43455,0.45009,0.32364,1.06777,3.66946,1.50404,1.35651,0.00122141,0.00122141,0.00122141
56,6024.22,0.97183,3.25795,1.28587,1.32671,0.69566,0.51063,0.52394,0.41917,0.63811,0.44975,0.43475,0.32063,1.00927,3.67528,1.46037,1.30263,0.00121316,0.00121316,0.00121316
57,6131.61,0.98312,3.29075,1.29519,1.33929,0.71627,0.49594,0.53419,0.42764,0.66824,0.45197,0.45739,0.33967,1.01548,3.65838,1.44295,1.3196,0.00120491,0.00120491,0.00120491
58,6238.81,0.97148,3.23883,1.28206,1.3288,0.72045,0.50624,0.51971,0.41946,0.70358,0.44315,0.4471,0.33385,1.00886,3.66542,1.46875,1.30906,0.00119666,0.00119666,0.00119666
