epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,13447.8,0.6075,0.56339,1.04391,0.79186,0.45253,0.53018,0.44574,1.00654,1.65802,1.35579,0.000206458,0.000206458,0.000206458
179,13523.6,0.63013,0.58679,1.06556,0.77954,0.46323,0.52539,0.44504,0.9925,1.65905,1.34383,0.000198206,0.000198206,0.000198206
180,13599,0.63112,0.58581,1.06241,0.73461,0.4706,0.51009,0.43145,1.01414,1.66362,1.35625,0.000189955,0.000189955,0.000189955
181,13674.1,0.61809,0.58271,1.05659,0.75313,0.46112,0.51665,0.43753,1.00454,1.64394,1.34784,0.000181703,0.000181703,0.000181703
182,13749.4,0.61584,0.57271,1.05593,0.75564,0.47767,0.51803,0.43414,1.00931,1.63481,1.36129,0.000173451,0.000173451,0.000173451
183,13824.3,0.60877,0.57204,1.05465,0.73074,0.48359,0.52418,0.4386,1.02294,1.64502,1.37332,0.0001652,0.0001652,0.0001652
184,13898.8,0.59925,0.55758,1.04639,0.75443,0.47571,0.52146,0.43849,1.01465,1.65887,1.3774,0.000156948,0.000156948,0.000156948
185,13973.2,0.6069,0.57072,1.04452,0.7845,0.45262,0.52023,0.43664,1.0136,1.66983,1.35524,0.000148696,0.000148696,0.000148696
186,14047.3,0.60607,0.55884,1.05152,0.78373,0.45174,0.5187,0.43974,1.00856,1.65974,1.36367,0.000140445,0.000140445,0.000140445
187,14121.5,0.59163,0.54411,1.04025,0.77077,0.47106,0.52389,0.44375,0.99936,1.61866,1.3656,0.000132193,0.000132193,0.000132193
188,14195.9,0.60034,0.55089,1.03782,0.77174,0.46045,0.52517,0.44,1.02883,1.66541,1.38599,0.000123941,0.000123941,0.000123941
189,14270.1,0.60756,0.55803,1.04499,0.69613,0.48223,0.5168,0.43575,1.0263,1.67125,1.38448,0.00011569,0.00011569,0.00011569
190,14344.3,0.60525,0.55065,1.04824,0.70338,0.47613,0.51821,0.43869,1.02089,1.65143,1.38357,0.000107438,0.000107438,0.000107438
191,14419,0.53878,0.49031,1.03081,0.7793,0.44381,0.49008,0.41518,1.01963,1.71405,1.37442,9.91865e-05,9.91865e-05,9.91865e-05
192,14492.7,0.52649,0.46086,1.02107,0.74772,0.46171,0.50825,0.42763,1.0496,1.69144,1.40081,9.09349e-05,9.09349e-05,9.09349e-05
193,14566.7,0.51507,0.44588,1.01199,0.72902,0.47341,0.51022,0.43112,1.01422,1.67278,1.37847,8.26832e-05,8.26832e-05,8.26832e-05
194,14640.7,0.52119,0.44922,1.01889,0.75871,0.46902,0.51289,0.43356,1.01682,1.68017,1.37694,7.44316e-05,7.44316e-05,7.44316e-05
195,14714.4,0.51978,0.44027,1.01312,0.78279,0.46586,0.52064,0.43843,1.00968,1.66544,1.36989,6.61799e-05,6.61799e-05,6.61799e-05
196,14788.4,0.50419,0.43697,1.00354,0.75035,0.46262,0.51458,0.43482,1.00537,1.6767,1.36338,5.79283e-05,5.79283e-05,5.79283e-05
197,14862.3,0.50507,0.42984,1.00952,0.75822,0.46665,0.51717,0.43282,1.01132,1.66399,1.36336,4.96766e-05,4.96766e-05,4.96766e-05
