epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3126.67,0.99059,1.31007,1.33643,0.70785,0.4907,0.52596,0.41685,1.04829,1.46701,1.32479,0.00132868,0.00132868,0.00132868
43,3202.3,0.98676,1.28593,1.34144,0.63971,0.53466,0.52453,0.41275,1.05982,1.48753,1.33972,0.00132043,0.00132043,0.00132043
44,3277.85,0.97935,1.28768,1.33271,0.72106,0.50782,0.53334,0.4259,1.03535,1.4583,1.33232,0.00131218,0.00131218,0.00131218
45,3352.77,0.98374,1.27261,1.33399,0.67027,0.48886,0.52162,0.41457,1.03206,1.46089,1.31991,0.00130393,0.00130393,0.00130393
46,3427.18,0.96498,1.22945,1.31914,0.72963,0.48412,0.53904,0.43057,1.03199,1.43848,1.34045,0.00129568,0.00129568,0.00129568
47,3501.88,0.98056,1.26436,1.32389,0.72526,0.51114,0.51888,0.41432,1.06227,1.52582,1.3391,0.00128742,0.00128742,0.00128742
48,3576.2,0.96064,1.23253,1.3125,0.69526,0.48075,0.51736,0.40442,1.06183,1.50037,1.35758,0.00127917,0.00127917,0.00127917
49,3650.48,0.95256,1.21813,1.30787,0.70242,0.49744,0.51864,0.41987,1.04089,1.49001,1.33793,0.00127092,0.00127092,0.00127092
50,3724.66,0.95559,1.21557,1.31504,0.73843,0.48684,0.53214,0.43418,1.00027,1.4569,1.31895,0.00126267,0.00126267,0.00126267
51,3798.93,0.95268,1.22506,1.32179,0.71172,0.4871,0.5293,0.43085,1.00712,1.44016,1.28731,0.00125442,0.00125442,0.00125442
52,3873.11,0.95378,1.20338,1.30203,0.7111,0.51316,0.54859,0.44495,0.9963,1.4064,1.29192,0.00124617,0.00124617,0.00124617
53,3947.98,0.94428,1.20116,1.30251,0.76692,0.48163,0.54646,0.4343,1.03085,1.42196,1.32858,0.00123791,0.00123791,0.00123791
54,4022.38,0.94061,1.21953,1.30334,0.71706,0.49202,0.51766,0.41499,1.06972,1.4947,1.36216,0.00122966,0.00122966,0.00122966
55,4097.07,0.93585,1.18613,1.30073,0.68764,0.50818,0.54017,0.43146,1.0651,1.45229,1.34752,0.00122141,0.00122141,0.00122141
56,4171.8,0.92139,1.16326,1.27823,0.74494,0.45781,0.50326,0.40728,1.04176,1.60618,1.33929,0.00121316,0.00121316,0.00121316
57,4246.69,0.93667,1.18222,1.29713,0.73198,0.48877,0.53039,0.43221,0.99815,1.4325,1.30311,0.00120491,0.00120491,0.00120491
58,4321.62,0.93303,1.17054,1.2946,0.70384,0.51493,0.54762,0.43948,1.00926,1.44913,1.31528,0.00119666,0.00119666,0.00119666
59,4396.87,0.92042,1.17161,1.28657,0.69001,0.49,0.50772,0.41102,1.04418,1.54985,1.32042,0.0011884,0.0011884,0.0011884
60,4471.64,0.92807,1.18289,1.28641,0.70526,0.50466,0.53595,0.42941,1.01233,1.43544,1.29723,0.00118015,0.00118015,0.00118015
61,4546.52,0.91049,1.13373,1.26912,0.7412,0.49973,0.53231,0.4228,1.05634,1.4677,1.34511,0.0011719,0.0011719,0.0011719
62,4621.28,0.91933,1.17228,1.28737,0.74838,0.47894,0.5181,0.41284,1.04088,1.50912,1.32749,0.00116365,0.00116365,0.00116365
63,4696.55,0.91385,1.14267,1.27605,0.76084,0.46364,0.51585,0.42356,1.00052,1.47713,1.3302,0.0011554,0.0011554,0.0011554
64,4771.78,0.90633,1.14361,1.27333,0.71656,0.5022,0.54394,0.43757,1.00949,1.42577,1.31747,0.00114715,0.00114715,0.00114715
65,4847.07,0.88482,1.1016,1.25304,0.75004,0.48033,0.52245,0.43177,1.00138,1.50934,1.29753,0.00113889,0.00113889,0.00113889
66,4922.08,0.90352,1.11397,1.26871,0.73001,0.50796,0.53677,0.43583,1.02539,1.40778,1.31406,0.00113064,0.00113064,0.00113064
67,4997.27,0.88726,1.09841,1.26823,0.72898,0.49834,0.52838,0.43261,1.0183,1.44461,1.3158,0.00112239,0.00112239,0.00112239
68,5072.4,0.8909,1.10398,1.26157,0.67394,0.50208,0.54456,0.43621,1.01718,1.41509,1.31137,0.00111414,0.00111414,0.00111414
69,5147.39,0.87484,1.0833,1.25239,0.73475,0.49588,0.535,0.43263,1.00463,1.42339,1.31688,0.00110589,0.00110589,0.00110589
70,5222.37,0.89301,1.10377,1.25885,0.71629,0.4983,0.5322,0.43417,1.03209,1.45591,1.30615,0.00109764,0.00109764,0.00109764
71,5297.5,0.86991,1.06741,1.23741,0.7265,0.50041,0.54435,0.44447,1.01991,1.41113,1.30362,0.00108938,0.00108938,0.00108938
72,5372.32,0.88856,1.08431,1.25873,0.72188,0.48008,0.52814,0.42968,0.99231,1.46715,1.2865,0.00108113,0.00108113,0.00108113
73,5447.36,0.87777,1.06912,1.25293,0.76574,0.46801,0.51381,0.41973,0.99953,1.49192,1.29952,0.00107288,0.00107288,0.00107288
74,5522.54,0.86468,1.03459,1.24216,0.71737,0.47367,0.51616,0.41984,0.98566,1.54194,1.29156,0.00106463,0.00106463,0.00106463
75,5597.56,0.87736,1.06559,1.23993,0.70722,0.4943,0.53475,0.43381,1.01305,1.461,1.30458,0.00105638,0.00105638,0.00105638
76,5672.6,0.86386,1.07436,1.2356,0.74834,0.48334,0.54834,0.44336,0.987,1.42399,1.29496,0.00104813,0.00104813,0.00104813
77,5747.58,0.86646,1.05791,1.23509,0.76425,0.47623,0.54867,0.44004,1.01911,1.42186,1.31903,0.00103987,0.00103987,0.00103987
